G,Pop,Ind,SowingDay,SowingDate,seedsXpot,MaxGerm,EmergDate,DTE,Dead,plantsXpot
1,1,1_1,6,24/10/2017,5,3,29/10/2017,5,0,3
1,1,1_2,3,21/10/2017,5,3,25/10/2017,4,0,3
1,1,1_3,6,24/10/2017,5,1,06/11/2017,13,0,1
1,1,1_4,1,19/10/2017,5,2,25/10/2017,6,0,2
1,1,1_5,4,22/10/2017,5,5,25/10/2017,3,0,5
1,1,1_6,4,22/10/2017,2,2,25/10/2017,3,0,2
1,1,1_7,1,19/10/2017,5,2,22/10/2017,3,0,2
1,1,1_8,3,21/10/2017,5,4,25/10/2017,4,0,4
1,1,1_9,4,22/10/2017,5,2,29/10/2017,7,0,2
1,1,1_10,2,20/10/2017,2,0,NA,NA,NA,NA
1,1,1_11,1,19/10/2017,5,2,22/10/2017,3,0,2
1,1,1_12,7,25/10/2017,5,3,06/11/2017,12,0,3
1,1,1_13,4,22/10/2017,5,4,29/10/2017,7,0,4
1,1,1_14,2,20/10/2017,2,0,NA,NA,NA,NA
1,1,1_15,7,25/10/2017,5,0,NA,NA,NA,NA
1,1,1_16,3,21/10/2017,5,0,NA,NA,NA,NA
1,1,1_17,6,24/10/2017,4,1,29/10/2017,5,0,1
1,1,1_18,7,25/10/2017,2,0,NA,NA,NA,NA
1,1,1_19,5,23/10/2017,5,0,NA,NA,NA,NA
1,1,1_20,5,23/10/2017,5,2,29/10/2017,6,0,2
1,1,1_21,3,21/10/2017,5,5,06/11/2017,16,0,5
1,1,1_22,2,20/10/2017,3,2,25/10/2017,5,0,2
1,1,1_23,1,19/10/2017,5,1,22/10/2017,3,0,1
1,1,1_24,5,23/10/2017,3,0,NA,NA,NA,NA
1,1,1_25,6,24/10/2017,5,3,29/10/2017,5,0,3
1,1,1_26,5,23/10/2017,3,2,29/10/2017,6,0,2
1,1,1_27,7,25/10/2017,3,0,NA,NA,NA,NA
1,1,1_28,3,21/10/2017,5,0,22/11/2017,32,0,0
1,1,1_29,2,20/10/2017,2,0,NA,NA,NA,NA
1,1,1_30,5,23/10/2017,3,1,29/10/2017,6,0,1
1,2,2_1,2,20/10/2017,5,4,22/10/2017,2,0,4
1,2,2_2,7,25/10/2017,5,2,29/10/2017,4,0,2
1,2,2_2,1,19/10/2017,5,2,22/10/2017,3,1,1
1,2,2_3,6,24/10/2017,5,2,06/11/2017,13,0,2
1,2,2_4,3,21/10/2017,1,1,25/10/2017,4,0,1
1,2,2_5,4,22/10/2017,5,5,29/10/2017,7,0,5
1,2,2_6,1,19/10/2017,2,2,22/10/2017,3,0,2
1,2,2_7,6,24/10/2017,2,2,29/10/2017,5,0,2
1,2,2_8,2,20/10/2017,5,5,25/10/2017,5,0,5
1,2,2_9,4,22/10/2017,5,5,25/10/2017,3,0,5
1,2,2_10,5,23/10/2017,5,5,29/10/2017,6,0,5
1,2,2_11,6,24/10/2017,5,4,29/10/2017,5,0,4
1,2,2_12,3,21/10/2017,5,5,25/10/2017,4,0,5
1,2,2_13,3,21/10/2017,5,5,25/10/2017,4,0,5
1,2,2_14,1,19/10/2017,5,3,22/10/2017,3,0,3
1,2,2_15,5,23/10/2017,5,4,06/11/2017,14,0,4
1,2,2_16,4,22/10/2017,5,0,NA,NA,NA,NA
1,2,2_17,1,19/10/2017,1,1,22/10/2017,3,0,1
1,2,2_18,7,25/10/2017,5,3,29/10/2017,4,0,3
1,2,2_19,5,23/10/2017,5,4,29/10/2017,6,0,4
1,2,2_21,4,22/10/2017,5,5,25/10/2017,3,0,5
1,2,2_22,6,24/10/2017,2,2,06/11/2017,13,0,2
1,2,2_23,5,23/10/2017,3,3,29/10/2017,6,0,3
1,2,2_24,7,25/10/2017,5,0,NA,NA,NA,NA
1,2,2_24,1,19/10/2017,5,2,10/11/2017,22,0,2
1,2,2_25,3,21/10/2017,5,4,25/10/2017,4,0,4
1,2,2_26,2,20/10/2017,5,5,06/11/2017,17,0,5
1,2,2_27,2,20/10/2017,4,2,22/10/2017,2,0,2
1,2,2_29,3,21/10/2017,2,1,25/10/2017,4,0,1
1,2,2_31,7,25/10/2017,2,1,06/11/2017,12,0,1
1,3,3_1,3,21/10/2017,5,0,NA,NA,NA,NA
